Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Gnatyuk, S., Kinzeryavyy, V., Sapozhnik, T., Sopilko, I., Seilova, N., Hrytsak, A.",36184129600; 57202440878; 57209223845; 57203992591; 57200070158; 57209223878,Modern Method and Software Tool for Guaranteed Data Deletion in Advanced Big Data Systems,2020,Advances in Intelligent Systems and Computing,902,,,581,590,,1,10.1007/978-3-030-12082-5_53,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066893448&partnerID=40&md5=719401d59a7fd0c147c9d85548e7bbed,Conference Paper,Final,,Scopus,2-s2.0-85066893448
"Park, H., Hong, S., Hussain, I., Kim, D., Seo, Y., Park, S.J.",57205366089; 56161261300; 57201649041; 57193995429; 57201649886; 57191670651,Gait Monitoring System for Stroke Prediction of Aging Adults,2020,Advances in Intelligent Systems and Computing,973,,,93,97,,,10.1007/978-3-030-20476-1_11,https://www.scopus.com/inward/record.url?eid=2-s2.0-85068208807&partnerID=40&md5=fff6475f5963f96a39836e91ba9c2e9e,Conference Paper,Final,,Scopus,2-s2.0-85068208807
"Viet, T.N., Thai, D.M., Nam, N.P., Van Toi, V.",57209365006; 57196223153; 55536487600; 6602978712,Implementation of a Pilot Cyber Medical System with Blood Pressure Devices for Telemedicine in Binh Duong Province (Vietnam),2020,IFMBE Proceedings,69,,,87,93,,,10.1007/978-981-13-5859-3_15,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067543555&partnerID=40&md5=56dd156cb47f3c99d765c38efe4e7916,Conference Paper,Final,,Scopus,2-s2.0-85067543555
"Rajagopalan, R.",57197600845,"Smart and pervasive health systems—challenges, trends, and future directions",2020,Lecture Notes in Networks and Systems,69,,,408,419,,,10.1007/978-3-030-12388-8_29,https://www.scopus.com/inward/record.url?eid=2-s2.0-85062909556&partnerID=40&md5=61cc9251522f18859098d46d199e9a47,Book Chapter,Final,,Scopus,2-s2.0-85062909556
"Tang, W., Zhang, K., Ren, J., Zhang, Y., Shen, X.",57022709900; 55695066400; 55260951700; 7601311414; 7402721166,Flexible and efficient authenticated key agreement scheme for BANs based on physiological features,2019,IEEE Transactions on Mobile Computing,18,4,8388272,845,856,,12,10.1109/TMC.2018.2848644,https://www.scopus.com/inward/record.url?eid=2-s2.0-85048882245&partnerID=40&md5=80f53471ff5e8042d956382a2c65ecc2,Article,Final,,Scopus,2-s2.0-85048882245
"Shuwandy, M.L., Zaidan, B.B., Zaidan, A.A., Albahri, A.S.",57205310904; 35070872100; 35070838500; 57201009814,Sensor-Based mHealth Authentication for Real-Time Remote Healthcare Monitoring System: A Multilayer Systematic Review,2019,Journal of Medical Systems,43,2,33,,,,10,10.1007/s10916-018-1149-5,https://www.scopus.com/inward/record.url?eid=2-s2.0-85059496371&partnerID=40&md5=ea778f095b728e87f2e7ed271ae2dd36,Review,Final,,Scopus,2-s2.0-85059496371
"Al-Muhtadi, J., Shahzad, B., Saleem, K., Jameel, W., Orgun, M.A.",6602495413; 16022803500; 24766676700; 57194415091; 6603681610,Cybersecurity and privacy issues for socially integrated mobile healthcare applications operating in a multi-cloud environment,2019,Health Informatics Journal,25,2,,315,329,,8,10.1177/1460458217706184,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065662723&partnerID=40&md5=18f4d79eeea0b9acc774454290a3cd41,Article,Final,,Scopus,2-s2.0-85065662723
"Mohsin, A.H., Zaidan, A.A., Zaidan, B.B., Albahri, O.S., Albahri, A.S., Alsalem, M.A., Mohammed, K.I.",57204239641; 35070838500; 35070872100; 57201013684; 57201009814; 57200572842; 57201308731,Based Medical Systems for Patient’s Authentication: Towards a New Verification Secure Framework Using CIA Standard,2019,Journal of Medical Systems,43,7,192,,,,6,10.1007/s10916-019-1264-y,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066154872&partnerID=40&md5=3f8d5ca0fd0414c84db47f3e46c7d1cf,Review,Final,,Scopus,2-s2.0-85066154872
"Zhang, Y., Sun, R., Ou, X., Fu, K., Chen, Q., Ding, Y., Xu, L.-J., Liu, L., Han, Y., Malko, A.V., Liu, X., Yang, H., Bakr, O.M., Liu, H., Mohammed, O.F.",55881891500; 57206731011; 57196342780; 57206726648; 54388410300; 35217617100; 57204601984; 56903325800; 7404096105; 6602487399; 35315695000; 35254722300; 14053604900; 56298445200; 8648434000,Metal Halide Perovskite Nanosheet for X-ray High-Resolution Scintillation Imaging Screens,2019,ACS Nano,,,,,,,6,10.1021/acsnano.8b09484,https://www.scopus.com/inward/record.url?eid=2-s2.0-85061924894&partnerID=40&md5=455b6df95e9ad440c5ef35d632a178d3,Article,Article in Press,,Scopus,2-s2.0-85061924894
"Tofighi, B., Leonard, N., Greco, P., Hadavand, A., Acosta, M.C., Lee, J.D.",23101507800; 7101757476; 57210410394; 23389117500; 26660737200; 24464028900,Technology Use Patterns among Patients Enrolled in Inpatient Detoxification Treatment,2019,Journal of Addiction Medicine,13,4,,279,286,,5,10.1097/ADM.0000000000000494,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066479525&partnerID=40&md5=5859a28c8de73a38135ededcd40719b4,Article,Final,,Scopus,2-s2.0-85066479525
